name,lat,lng,class,flowinfo,url,huc_cd,id
"USGS 02191300 BROAD RIVER ABOVE CARLTON, GA",34.07422220,-83.00394440,5,"Discharge: 346 cfs;Stage: 1.63 ft;Stage (adj): 408.23 ft;Date: 2024-09-06 11:45:00;Length of record: 42 years;Class: 25-75;% normal(median): 74.33 %;% normal(mean): 50.05 %",https://waterdata.usgs.gov/monitoring-location/02191300,03060104,02191300
"USGS 02192000 BROAD RIVER NEAR BELL, GA",33.97263889,-82.77086110,4,"Discharge: 322 cfs;Stage: 3.70 ft;Stage (adj): 360.5 ft;Date: 2024-09-06 11:30:00;Length of record: 92 years;Class: 10-24;% normal(median): 53.98 %;% normal(mean): 37.37 %",https://waterdata.usgs.gov/monitoring-location/02192000,03060104,02192000
"USGS 02193340 KETTLE CREEK NEAR WASHINGTON, GA",33.68266667,-82.85850000,5,"Discharge: 0.85 cfs;Stage: 3.01 ft;Stage (adj): 418.61 ft;Date: 2024-09-06 11:45:00;Length of record: 38 years;Class: 25-75;% normal(median): 30.36 %;% normal(mean): 20.53 %",https://waterdata.usgs.gov/monitoring-location/02193340,03060105,02193340
"USGS 02193500 LITTLE RIVER NEAR WASHINGTON, GA",33.61277778,-82.74250000,4,"Discharge: 8.23 cfs;Stage: 4.15 ft;Stage (adj): 357.45 ft;Date: 2024-09-06 11:00:00;Length of record: 56 years;Class: 10-24;% normal(median): 31.71 %;% normal(mean): 19.47 %",https://waterdata.usgs.gov/monitoring-location/02193500,03060105,02193500
"USGS 02193900 THURMOND LAKE NEAR PLUM BRANCH, SC",33.84166667,-82.34500000,0,"Stage: 324.56 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02193900,03060103,02193900
"USGS 02195150 KIOKEE CREEK AT US 221, AT APPLING, GA",33.54266667,-82.31541670,0,"Discharge: 2500 cfs;Date: 2024-05-04 13:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02195150,03060106,02195150
"USGS 02195320 KIOKEE CREEK AT GA 104, NEAR EVANS, GA",33.60111110,-82.23261110,0,"Discharge: 10.5 cfs;Stage: 0.25 ft;Stage (adj): 200.25 ft;Date: 2024-09-06 11:00:00;Length of record: 19 years;Class: Not-ranked;% normal(median): 176.47 %;% normal(mean): 137.25 %",https://waterdata.usgs.gov/monitoring-location/02195320,03060106,02195320
"USGS 02195470 UCHEE CREEK AT GA 104, NEAR EVANS, GA",33.56736110,-82.18338889,0,"Discharge: 2.52 cfs;Stage: 1.65 ft;Stage (adj): 190.65 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02195470,03060106,02195470
"USGS 02195520 SAVANNAH RIVER NEAR EVANS, GA",33.59286110,-82.12322220,0,"Stage: 14.85 ft;Stage (adj): 184.85 ft;Date: 2024-09-06 11:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02195520,03060106,02195520
"USGS 02196000 STEVENS CREEK NEAR MODOC, SC",33.72929717,-82.18178730,5,"Discharge: 10.2 cfs;Stage: 2.13 ft;Stage (adj): 197.94 ft;Date: 2024-09-06 11:00:00;Length of record: 81 years;Class: 25-75;% normal(median): 46.36 %;% normal(mean): 16.15 %",https://waterdata.usgs.gov/monitoring-location/02196000,03060107,02196000
"USGS 02196483 SAVANNAH RVR AT STEVENS CREEK DAM NR MORGANA, SC",33.56291240,-82.05095060,0,"Stage: 185.61 ft;Stage (adj): 184.8 ft;Date: 2024-09-06 11:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02196483,03060107,02196483
"USGS 02196485 AUGUSTA CANAL UPPER NR AUGUSTA, GA",33.54916667,-82.03713889,0,"Discharge: 1950 cfs;Stage: 6.58 ft;Stage (adj): 154.58 ft;Date: 2024-09-06 11:15:00;Length of record: 21 years;Class: Not-ranked;% normal(median): 71.96 %;% normal(mean): 74.92 %",https://waterdata.usgs.gov/monitoring-location/02196485,03060106,02196485
"USGS 02196487 REED CREEK AT BLUE RIDGE DRIVE NEAR MARTINEZ, GA",33.53448889,-82.10446110,0,"Stage: 2.08 ft;Stage (adj): 240.08 ft;Date: 2024-09-06 11:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02196487,03060106,02196487
"USGS 02196670 SAVANNAH RIVER JEFFERSON DAVIS BR, AT AUGUSTA, GA",33.47933330,-81.96338889,0,"Discharge: 5630 cfs;Stage: 13.52 ft;Stage (adj): 113.52 ft;Date: 2024-09-06 11:30:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02196670,03060106,02196670
"USGS 02196690 HORSE CREEK AT CLEARWATER, SC",33.47819280,-81.90761399,0,"Discharge: 113 cfs;Stage: 9.91 ft;Stage (adj): 119.3 ft;Date: 2024-09-06 11:00:00;Length of record: 19 years;Class: Not-ranked;% normal(median): 100.89 %;% normal(mean): 93.07 %",https://waterdata.usgs.gov/monitoring-location/02196690,03060106,02196690
"USGS 02196835 BUTLER CREEK BELOW 7TH AVENUE, AT FT. GORDON, GA",33.43861110,-82.11611110,0,"Discharge: 2.14 cfs;Stage: 2.23 ft;Stage (adj): 260.56 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 65.24 %;% normal(mean): 43.76 %",https://waterdata.usgs.gov/monitoring-location/02196835,03060106,02196835
"USGS 02196838 BUTLER CREEK RESERVOIR AT FORT GORDON, GA",33.42583330,-82.09916670,0,"Stage: 27.36 ft;Stage (adj): 253.1 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02196838,03060106,02196838
"USGS 02196999 SAVANNAH RV ABOVE NEW SAV. LOCK AND DAM",33.37244444,-81.93980560,0,"Stage: 114.06 ft;Stage (adj): 113.45 ft;Date: 2024-09-06 11:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02196999,03060106,02196999
"USGS 02197000 SAVANNAH RIVER AT AUGUSTA, GA",33.37252778,-81.94208330,4,"Discharge: 4470 cfs;Stage: 97.54 ft;Stage (adj): 96.93 ft;Date: 2024-09-06 11:45:00;Length of record: 72 years;Class: 10-24;% normal(median): 74.87 %;% normal(mean): 65.25 %",https://waterdata.usgs.gov/monitoring-location/02197000,03060106,02197000
"USGS 02197020 SPIRIT CREEK AT US 1, NEAR AUGUSTA, GA",33.37366667,-82.13919440,0,"Discharge: 12.9 cfs;Stage: 2.77 ft;Stage (adj): 231.67 ft;Date: 2024-09-06 11:00:00;Length of record: 22 years;Class: Not-ranked;% normal(median): 122.86 %;% normal(mean): 107.95 %",https://waterdata.usgs.gov/monitoring-location/02197020,03060106,02197020
"USGS 02197500 SAVANNAH R AT BURTONS FERRY BR NR MILLHAVEN, GA",32.93644444,-81.50252780,5,"Discharge: 5570 cfs;Stage: 5.05 ft;Stage (adj): 60.5 ft;Date: 2024-09-06 10:45:00;Length of record: 71 years;Class: 25-75;% normal(median): 84.27 %;% normal(mean): 71.57 %",https://waterdata.usgs.gov/monitoring-location/02197500,03060106,02197500
"USGS 02197598 BRUSHY CREEK AT CAMPGROUND ROAD, NEAR WRENS, GA",33.18055556,-82.33408330,0,"Discharge: 5.31 cfs;Stage: 1.79 ft;Stage (adj): 298.86 ft;Date: 2024-09-06 11:15:00;Length of record: 19 years;Class: Not-ranked;% normal(median): 103.71 %;% normal(mean): 99.62 %",https://waterdata.usgs.gov/monitoring-location/02197598,03060108,02197598
"USGS 02197830 BRIER CREEK NEAR WAYNESBORO, GA",33.11830556,-81.96361110,3,"Discharge: 98.2 cfs;Stage: 4.08 ft;Stage (adj): 175.32 ft;Date: 2024-09-06 11:30:00;Length of record: 41 years;Class: <10;% normal(median): 57.09 %;% normal(mean): 50.24 %",https://waterdata.usgs.gov/monitoring-location/02197830,03060108,02197830
"USGS 02198000 BRIER CREEK AT MILLHAVEN, GA",32.93333333,-81.65066670,4,"Discharge: 149 cfs;Stage: 1.38 ft;Stage (adj): 96.55 ft;Date: 2024-09-06 11:00:00;Length of record: 87 years;Class: 10-24;% normal(median): 61.32 %;% normal(mean): 45.52 %",https://waterdata.usgs.gov/monitoring-location/02198000,03060108,02198000
"USGS 02198100 BEAVERDAM CREEK NEAR SARDIS, GA",32.93750000,-81.81533330,5,"Discharge: 3.71 cfs;Stage: 1.21 ft;Stage (adj): 186.75 ft;Date: 2024-09-06 11:00:00;Length of record: 38 years;Class: 25-75;% normal(median): 84.70 %;% normal(mean): 26.90 %",https://waterdata.usgs.gov/monitoring-location/02198100,03060108,02198100
"USGS 02198500 SAVANNAH RIVER NEAR CLYO, GA",32.52855556,-81.26833330,5,"Discharge: 6090 cfs;Stage: 3.89 ft;Stage (adj): 16.62 ft;Date: 2024-09-06 11:15:00;Length of record: 90 years;Class: 25-75;% normal(median): 81.15 %;% normal(mean): 72.83 %",https://waterdata.usgs.gov/monitoring-location/02198500,03060109,02198500
"USGS 02198690 EBENEZER CREEK AT SPRINGFIELD, GA",32.36577778,-81.29708330,5,"Discharge: 8.07 cfs;Stage: 4.20 ft;Stage (adj): 17 ft;Date: 2024-09-06 11:00:00;Length of record: 34 years;Class: 25-75;% normal(median): 51.40 %;% normal(mean): 8.94 %",https://waterdata.usgs.gov/monitoring-location/02198690,03060109,02198690
"USGS 02198760 SAVANNAH RIVER ABOVE HARDEEVILLE, SC",32.34963773,-81.12483240,0,"Stage: 5.48 ft;Stage (adj): 4.9 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198760,03060109,02198760
"USGS 02198810 ABERCORN CREEK NEAR SAVANNAH,GA",32.25602778,-81.17802780,0,"Discharge: -1580 cfs;Stage: 4.47 ft;Stage (adj): 4.47 ft;Date: 2024-09-06 11:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198810,03060109,02198810
"USGS 02198820 ABERCORN CREEK AT MOUTH NEAR SAVANNAH, GA",32.24916667,-81.15361110,0,"Stage: 4.23 ft;Stage (adj): 4.23 ft;Date: 2024-09-06 11:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198820,03060109,02198820
"USGS 02198840 SAVANNAH RIVER I-95 NEAR PORT WENTWORTH, GA",32.23547220,-81.15108330,0,"Discharge: -8040 cfs;Stage: 4.46 ft;Stage (adj): 4.46 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198840,03060109,02198840
"USGS 02198920 SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA",32.16533333,-81.15491670,0,"Discharge: -23900 cfs;Stage: 4.66 ft;Stage (adj): 5.07 ft;Date: 2024-09-06 11:30:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198920,03060109,02198920
"USGS 02198950 MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA",32.16572220,-81.13797220,0,"Discharge: -6710 cfs;Stage: 4.70 ft;Stage (adj): 4.7 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198950,03060109,02198950
"USGS 02198955 MIDDLE RIVER AT FISH HOLE AT PORT WENTWORTH, GA",32.14277778,-81.13527780,0,"Discharge: -14800 cfs;Stage: 4.34 ft;Stage (adj): 4.34 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198955,03060109,02198955
"USGS 02198980 SAVANNAH RIVER AT FORT PULASKI, GA",32.03580556,-80.90605560,0,"Discharge: -88700 cfs;Stage: 4.09 ft;Stage (adj): 4.09 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02198980,03060109,02198980
"USGS 02200120 OGEECHEE RIVER AT GA 88, NEAR GRANGE, GA",33.04458333,-82.60366670,0,"Discharge: 17.3 cfs;Stage: 6.24 ft;Stage (adj): 239.64 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 60.38 %;% normal(mean): 36.06 %",https://waterdata.usgs.gov/monitoring-location/02200120,03060201,02200120
"USGS 02201000 WILLIAMSON SWAMP CREEK AT DAVISBORO, GA",32.97566667,-82.60980560,5,"Discharge: 32.6 cfs;Stage: 2.26 ft;Stage (adj): 264.71 ft;Date: 2024-09-06 11:45:00;Length of record: 44 years;Class: 25-75;% normal(median): 113.39 %;% normal(mean): 76.49 %",https://waterdata.usgs.gov/monitoring-location/02201000,03060201,02201000
"USGS 02201230 OGEECHEE RIVER AT MIDVILLE, GA",32.81469444,-82.23500000,0,"Discharge: 143 cfs;Stage: -0.04 ft;Stage (adj): 168.09 ft;Date: 2024-09-06 11:00:00;Length of record: 21 years;Class: Not-ranked;% normal(median): 76.06 %;% normal(mean): 52.88 %",https://waterdata.usgs.gov/monitoring-location/02201230,03060201,02201230
"USGS 02202040 OGEECHEE RIVER AT ROCKY FORD RD, NR ROCKY FORD, GA",32.64927778,-81.84077780,0,"Discharge: 222 cfs;Stage: 2.80 ft;Stage (adj): 106.94 ft;Date: 2024-09-06 11:00:00;Length of record: 21 years;Class: Not-ranked;% normal(median): 70.48 %;% normal(mean): 45.30 %",https://waterdata.usgs.gov/monitoring-location/02202040,03060202,02202040
"USGS 02202190 OGEECHEE RIVER AT GA 24, NEAR OLIVER, GA",32.49480556,-81.55550000,0,"Discharge: 293 cfs;Stage: 5.78 ft;Stage (adj): 65.6 ft;Date: 2024-09-06 11:30:00;Length of record: 15 years;Class: Not-ranked;% normal(median): 70.60 %;% normal(mean): 33.39 %",https://waterdata.usgs.gov/monitoring-location/02202190,03060202,02202190
"USGS 02202500 OGEECHEE RIVER NEAR EDEN, GA",32.19011110,-81.41586110,4,"Discharge: 318 cfs;Stage: 2.59 ft;Stage (adj): 19.65 ft;Date: 2024-09-06 11:15:00;Length of record: 87 years;Class: 10-24;% normal(median): 50.64 %;% normal(mean): 25.41 %",https://waterdata.usgs.gov/monitoring-location/02202500,03060202,02202500
"USGS 02202600 BLACK CREEK NEAR BLITCHTON, GA",32.16755556,-81.48775000,5,"Discharge: 8.85 cfs;Stage: 2.71 ft;Stage (adj): 30.21 ft;Date: 2024-09-06 11:15:00;Length of record: 44 years;Class: 25-75;% normal(median): 55.14 %;% normal(mean): 10.42 %",https://waterdata.usgs.gov/monitoring-location/02202600,03060202,02202600
"USGS 02202680 OGEECHEE RIVER AT GA 204, NEAR ELLABELL, GA",32.07950000,-81.38475000,0,"Discharge: 449 cfs;Stage: 4.12 ft;Stage (adj): 7.02 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 63.37 %;% normal(mean): 34.09 %",https://waterdata.usgs.gov/monitoring-location/02202680,03060202,02202680
"USGS 02203000 CANOOCHEE RIVER NEAR CLAXTON, GA",32.18436110,-81.88922220,5,"Discharge: 26.0 cfs;Stage: 1.45 ft;Stage (adj): 81.95 ft;Date: 2024-09-06 11:15:00;Length of record: 87 years;Class: 25-75;% normal(median): 50.00 %;% normal(mean): 10.72 %",https://waterdata.usgs.gov/monitoring-location/02203000,03060203,02203000
"USGS 02203040 LOTTS CREEK AT US 25, NEAR STATESBORO, GA",32.36600659,-81.85484328,0,"Stage: 133.32 ft;Date: 2024-08-14 15:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02203040,03060203,02203040
"USGS 02203518 CANOOCHEE RIVER AT BRIDGE 38, AT FORT STEWART, GA",31.96900000,-81.45869440,0,"Discharge: 188 cfs;Stage: 6.40 ft;Stage (adj): 26.4 ft;Date: 2024-09-06 11:30:00;Length of record: 15 years;Class: Not-ranked;% normal(median): 79.66 %;% normal(mean): 26.69 %",https://waterdata.usgs.gov/monitoring-location/02203518,03060203,02203518
"USGS 02203536 OGEECHEE RIVER AT US 17, NEAR RICHMOND HILL, GA",31.97697220,-81.28786110,0,"Discharge: -9220 cfs;Stage: 3.25 ft;Stage (adj): 3.25 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02203536,03060202,02203536
"USGS 02203557 PEACOCK CREEK AT ATLANTIC RR LINE NR MCINTOSH, GA",31.82055556,-81.53955560,0,"Discharge: 16.9 cfs;Stage: 4.44 ft;Stage (adj): 11.44 ft;Date: 2024-09-06 11:15:00;Length of record: 15 years;Class: Not-ranked;% normal(median): 300.71 %;% normal(mean): 136.18 %",https://waterdata.usgs.gov/monitoring-location/02203557,03060204,02203557
"USGS 02203603 SOUTH RIVER AT SPRINGDALE ROAD, AT ATLANTA, GA",33.68388889,-84.41527780,0,"Stage: 2.16 ft;Stage (adj): 849.24 ft;Date: 2024-09-06 11:15:00;Length of record: 10 years;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02203603,03070103,02203603
"USGS 02203655 SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA",33.67891667,-84.35813889,0,"Discharge: 16.0 cfs;Stage: 2.97 ft;Stage (adj): 751.41 ft;Date: 2024-09-06 11:15:00;Length of record: 21 years;Class: Not-ranked;% normal(median): 164.27 %;% normal(mean): 157.79 %",https://waterdata.usgs.gov/monitoring-location/02203655,03070103,02203655
"USGS 02203800 SOUTH RIVER AT BOULDERCREST ROAD AT ATLANTA, GA",33.67961110,-84.30794440,0,"Stage: 2.28 ft;Stage (adj): 755.52 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02203800,03070103,02203800
"USGS 02203831 DOOLITTLE CREEK AT FLAT SHOALS RD, NR DECATUR, GA",33.70569444,-84.29219440,0,"Discharge: 2.06 cfs;Stage: 1.14 ft;Stage (adj): 790.09 ft;Date: 2024-09-06 11:00:00;Length of record: 12 years;Class: Not-ranked;% normal(median): 111.35 %;% normal(mean): 104.04 %",https://waterdata.usgs.gov/monitoring-location/02203831,03070103,02203831
"USGS 02203863 SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA",33.69319444,-84.25388889,0,"Discharge: 4.13 cfs;Stage: 3.53 ft;Stage (adj): 747.6 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 83.94 %;% normal(mean): 89.98 %",https://waterdata.usgs.gov/monitoring-location/02203863,03070103,02203863
"USGS 02203873 COBBS CREEK AT RAINBOW DR, NEAR DECATUR, GA",33.70941667,-84.23916670,0,"Discharge: 4.17 cfs;Stage: 1.65 ft;Stage (adj): 780.87 ft;Date: 2024-09-06 11:30:00;Length of record: 11 years;Class: Not-ranked;% normal(median): 87.97 %;% normal(mean): 93.08 %",https://waterdata.usgs.gov/monitoring-location/02203873,03070103,02203873
"USGS 02203900 SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA, GA",33.66577778,-84.22400000,0,"Discharge: 30.0 cfs;Stage: 2.02 ft;Stage (adj): 719.74 ft;Date: 2024-09-06 11:00:00;Length of record: 22 years;Class: Not-ranked;% normal(median): 61.10 %;% normal(mean): 41.01 %",https://waterdata.usgs.gov/monitoring-location/02203900,03070103,02203900
"USGS 02203950 SNAPFINGER CREEK NEAR DECATUR, GA",33.76322220,-84.22036110,0,"Discharge: 5.07 cfs;Stage: 2.53 ft;Stage (adj): 847.33 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 92.01 %;% normal(mean): 81.91 %",https://waterdata.usgs.gov/monitoring-location/02203950,03070103,02203950
"USGS 02203960 SNAPFINGER CR AT THOMPSON MILL RD NR LITHONIA, GA",33.69666667,-84.19861110,0,"Discharge: 11.8 cfs;Stage: 3.28 ft;Stage (adj): 752.54 ft;Date: 2024-09-06 11:30:00;Length of record: 12 years;Class: Not-ranked;% normal(median): 87.41 %;% normal(mean): 81.49 %",https://waterdata.usgs.gov/monitoring-location/02203960,03070103,02203960
"USGS 02204037 POLE BRIDGE CR AT EVANS MILL RD NEAR LITHONIA, GA",33.66819444,-84.15116670,0,"Discharge: 2.58 cfs;Stage: 1.05 ft;Stage (adj): 722.37 ft;Date: 2024-09-06 11:30:00;Length of record: 12 years;Class: Not-ranked;% normal(median): 41.21 %;% normal(mean): 30.18 %",https://waterdata.usgs.gov/monitoring-location/02204037,03070103,02204037
"USGS 02204070 SOUTH RIVER AT KLONDIKE ROAD, NEAR LITHONIA, GA",33.63011110,-84.12847220,4,"Discharge: 90.4 cfs;Stage: 5.01 ft;Stage (adj): 665.71 ft;Date: 2024-09-06 11:45:00;Length of record: 40 years;Class: 10-24;% normal(median): 74.71 %;% normal(mean): 37.49 %",https://waterdata.usgs.gov/monitoring-location/02204070,03070103,02204070
"USGS 02204130 HONEY CREEK AT GA 212, NEAR CONYERS, GA",33.57975000,-84.06425000,0,"Discharge: 3.59 cfs;Stage: 1.29 ft;Stage (adj): 631.01 ft;Date: 2024-09-06 10:45:00;Length of record: 21 years;Class: Not-ranked;% normal(median): 46.99 %;% normal(mean): 33.36 %",https://waterdata.usgs.gov/monitoring-location/02204130,03070103,02204130
"USGS 02204285 PATES CREEK NEAR FLIPPEN, GA",33.49280556,-84.24505560,0,"Discharge: 9.08 cfs;Stage: 1.45 ft;Stage (adj): 715.66 ft;Date: 2024-09-06 10:45:00;Length of record: 25 years;Class: Not-ranked;% normal(median): 64.86 %;% normal(mean): 61.31 %",https://waterdata.usgs.gov/monitoring-location/02204285,03070103,02204285
"USGS 02204520 SOUTH RIVER AT GA 81, AT SNAPPING SHOALS, GA",33.48458330,-83.95797220,0,"Discharge: 172 cfs;Stage: 6.83 ft;Stage (adj): 564.1 ft;Date: 2024-09-06 11:30:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 76.44 %;% normal(mean): 54.32 %",https://waterdata.usgs.gov/monitoring-location/02204520,03070103,02204520
"USGS 02205000 WILDCAT CREEK NEAR LAWRENCEVILLE, GA",34.00194444,-84.00500000,0,"Stage: 0.59 ft;Stage (adj): 967.85 ft;Date: 2024-09-06 10:55:00;Length of record: 29 years;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02205000,03070103,02205000
"USGS 02205230 WOLF CREEK TRIBUTARY AT DEAN ROAD, NR SUWANEE, GA",34.00136110,-84.04897220,0,"Stage: 1.88 ft;Stage (adj): 979.97 ft;Date: 2024-09-06 10:55:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02205230,03070103,02205230
"USGS 02205522 PEW CREEK AT PATTERSON RD, NEAR LAWRENCEVILLE, GA",33.92588889,-84.03780560,0,"Stage: 2.97 ft;Stage (adj): 864.87 ft;Date: 2024-09-06 11:15:00;Length of record: 12 years;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02205522,03070103,02205522
"USGS 02205596 YELLOW R TRIB AT PLANTATION RD,NR LAWRENCEVILLE,GA",33.91263889,-84.04602780,0,"Stage: -0.54 ft;Stage (adj): 856.08 ft;Date: 2024-09-06 10:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02205596,03070103,02205596
"USGS 02205865 SWEETWATER CREEK AT CLUB DRIVE NEAR LILBURN, GA",33.94111110,-84.10777780,0,"Discharge: 3.52 cfs;Stage: 2.55 ft;Stage (adj): 854.3 ft;Date: 2024-09-06 11:15:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 59.36 %;% normal(mean): 35.96 %",https://waterdata.usgs.gov/monitoring-location/02205865,03070103,02205865
"USGS 02205900 BEAVER RUIN CREEK AT MITCHELL RD, NR NORCROSS, GA",33.92555556,-84.19361110,0,"Stage: 0.67 ft;Stage (adj): 918.67 ft;Date: 2024-09-06 11:30:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02205900,03070103,02205900
"USGS 02206020 TRIB TO BROMOLOW CRK AT POND RD, NR NORCROSS, GA",33.94176870,-84.16908400,0,"Stage: 0.79 ft;Stage (adj): 901.37 ft;Date: 2024-09-06 11:30:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02206020,03070103,02206020
"USGS 02206100 SWEETWATER CREEK AT US 29, NEAR LUXOMNI, GA",33.91416667,-84.09833330,0,"Stage: 2.99 ft;Stage (adj): 841.57 ft;Date: 2024-09-06 11:45:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02206100,03070103,02206100
